SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
AERON, SM, 06-Feb-2026, 100.70, 96.15, 102.50, 96.15, 102.00, 102.00, 100.83, 9000, 9.08, 9, 6000, 66.67
AERONEU, EQ, 06-Feb-2026, 71.61, 72.51, 73.00, 70.11, 72.65, 71.30, 71.48, 20062, 14.34, 451, 5784, 28.83
AETHER, EQ, 06-Feb-2026, 1022.00, 1025.00, 1035.90, 1000.30, 1007.10, 1011.30, 1013.92, 151565, 1536.75, 14258, 82161, 54.21
AFCONS, EQ, 06-Feb-2026, 338.45, 336.00, 336.85, 330.10, 330.50, 332.00, 332.39, 132175, 439.34, 5630, 67936, 51.40
AFFLE, EQ, 06-Feb-2026, 1663.30, 1643.30, 1669.80, 1618.30, 1644.00, 1647.40, 1645.54, 173242, 2850.77, 26301, 77228, 44.58
AFFORDABLE, EQ, 06-Feb-2026, 190.56, 193.89, 193.89, 183.54, 191.50, 189.69, 188.24, 28502, 53.65, 591, 15367, 53.92
AFIL, EQ, 06-Feb-2026, 5.31, 5.37, 5.48, 5.23, 5.44, 5.42, 5.34, 345556, 18.45, 686, 215336, 62.32
AFSL, EQ, 06-Feb-2026, 201.32, 201.50, 203.00, 201.03, 202.50, 202.79, 201.98, 2886, 5.83, 159, 1083, 37.53
AGARIND, EQ, 06-Feb-2026, 722.90, 719.75, 725.00, 691.00, 701.90, 704.15, 705.58, 18125, 127.89, 1518, 4155, 22.92
AGARWALEYE, EQ, 06-Feb-2026, 456.45, 456.45, 456.70, 445.20, 450.00, 450.15, 449.30, 50326, 226.11, 2950, 23755, 47.20
AGARWALFT, SM, 06-Feb-2026, 31.00, 32.50, 32.55, 31.00, 31.00, 31.00, 31.62, 7500, 2.37, 5, 4500, 60.00
AGARWALTUF, SM, 06-Feb-2026, 100.50, 100.25, 103.00, 100.25, 101.50, 101.80, 102.00, 33600, 34.27, 28, 24000, 71.43
AGI, EQ, 06-Feb-2026, 593.75, 593.50, 601.90, 585.25, 594.50, 590.60, 591.48, 132055, 781.08, 6625, 62856, 47.60
AGIIL, EQ, 06-Feb-2026, 252.50, 250.00, 256.35, 246.00, 247.40, 246.90, 250.49, 560698, 1404.50, 6437, 321221, 57.29
AGNI, SM, 06-Feb-2026, 18.95, 18.60, 19.45, 18.60, 19.40, 19.40, 18.92, 15000, 2.84, 5, 10000, 66.67
AGRITECH, BE, 06-Feb-2026, 136.01, 136.69, 139.00, 135.40, 137.94, 137.07, 136.49, 1772, 2.42, 30, -, -
AGROPHOS, EQ, 06-Feb-2026, 36.06, 36.75, 36.75, 35.30, 35.59, 35.54, 35.57, 17826, 6.34, 308, 13334, 74.80
AGSTRA, BZ, 06-Feb-2026, 3.85, 3.85, 3.98, 3.85, 3.96, 3.96, 3.92, 107222, 4.20, 277, -, -
AGUL, SM, 06-Feb-2026, 73.95, 70.30, 70.30, 70.30, 70.30, 70.30, 70.30, 12000, 8.44, 5, 10000, 83.33
AHCL, EQ, 06-Feb-2026, 123.80, 124.41, 128.75, 121.06, 127.70, 126.10, 124.84, 90505, 112.99, 1697, 51891, 57.33
AHLADA, EQ, 06-Feb-2026, 50.76, 50.00, 50.99, 49.11, 49.50, 49.44, 50.10, 1912, 0.96, 92, 1470, 76.88
AHLEAST, EQ, 06-Feb-2026, 144.29, 144.20, 145.00, 142.05, 142.20, 142.20, 143.26, 2044, 2.93, 25, 2035, 99.56
